run_id,initial_state,algorithm,cost_function,heuristic,random_successors,goal_state_found,path_length,path_cost,nodes_generated,nodes_visited,execution_time_sec
1,4_3172685,UniformCostSearch,C1,N/A,False,1_2345678,10,20.0,2052,743,0.0102
2,4_3172685,AStarSearch,C1,H1,False,1_2345678,10,20.0,166,60,0.003
3,4_3172685,AStarSearch,C1,H2,False,1_2345678,10,20.0,67,24,0.002
4,4_3172685,UniformCostSearch,C2,N/A,False,1_2345678,10,24.0,1612,599,0.007
5,4_3172685,AStarSearch,C2,H1,False,1_2345678,10,24.0,191,68,0.003
6,4_3172685,AStarSearch,C2,H2,False,1_2345678,10,24.0,88,31,0.002
7,4_3172685,UniformCostSearch,C3,N/A,False,1_2345678,10,26.0,2299,849,0.011
8,4_3172685,AStarSearch,C3,H1,False,1_2345678,10,26.0,291,108,0.0052
9,4_3172685,AStarSearch,C3,H2,False,1_2345678,10,26.0,123,46,0.003
10,4_3172685,UniformCostSearch,C4,N/A,False,1_2345678,10,29.0,1434,553,0.0081
11,4_3172685,AStarSearch,C4,H1,False,1_2345678,10,29.0,262,98,0.005
12,4_3172685,AStarSearch,C4,H2,False,1_2345678,10,29.0,134,50,0.003
13,7_6158243,UniformCostSearch,C1,N/A,False,1234567_8,24,48.0,668046,250173,6.3104
14,7_6158243,AStarSearch,C1,H1,False,1234567_8,24,48.0,68882,25483,1.25
15,7_6158243,AStarSearch,C1,H2,False,1234567_8,24,48.0,7275,2703,0.1415
16,7_6158243,UniformCostSearch,C2,N/A,False,1234567_8,24,58.0,528154,209375,4.8673
17,7_6158243,AStarSearch,C2,H1,False,1234567_8,24,58.0,75652,27792,1.4597
18,7_6158243,AStarSearch,C2,H2,False,1234567_8,24,58.0,14142,5206,0.2762
19,7_6158243,UniformCostSearch,C3,N/A,False,1234567_8,24,62.0,725148,288666,6.9921
20,7_6158243,AStarSearch,C3,H1,False,1234567_8,24,62.0,133008,50076,2.5729
21,7_6158243,AStarSearch,C3,H2,False,1234567_8,24,62.0,26563,10107,0.548
22,7_6158243,UniformCostSearch,C4,N/A,False,1234567_8,24,70.0,392651,170932,3.8729
23,7_6158243,AStarSearch,C4,H1,False,1234567_8,24,70.0,115059,43723,2.3236
24,7_6158243,AStarSearch,C4,H2,False,1234567_8,24,70.0,29123,11138,0.6314
25,532_78416,UniformCostSearch,C1,N/A,False,_12345678,19,38.0,120949,43915,0.8623
26,532_78416,AStarSearch,C1,H1,False,_12345678,19,38.0,9563,3525,0.1729
27,532_78416,AStarSearch,C1,H2,False,_12345678,19,38.0,2016,749,0.0402
28,532_78416,UniformCostSearch,C2,N/A,False,_12345678,19,48.0,134376,50247,1.0126
29,532_78416,AStarSearch,C2,H1,False,_12345678,19,48.0,15422,5778,0.2848
30,532_78416,AStarSearch,C2,H2,False,_12345678,19,48.0,4094,1547,0.0786
31,532_78416,UniformCostSearch,C3,N/A,False,_12345678,19,47.0,113944,42347,0.8676
32,532_78416,AStarSearch,C3,H1,False,_12345678,19,47.0,13487,5055,0.2532
33,532_78416,AStarSearch,C3,H2,False,_12345678,19,47.0,3359,1273,0.0671
34,532_78416,UniformCostSearch,C4,N/A,False,_12345678,19,55.0,91482,36712,0.7378
35,532_78416,AStarSearch,C4,H1,False,_12345678,19,55.0,15711,5916,0.3093
36,532_78416,AStarSearch,C4,H2,False,_12345678,19,55.0,4665,1758,0.1123
37,5462187_3,UniformCostSearch,C1,N/A,False,12_345678,19,38.0,148299,55314,1.0721
38,5462187_3,AStarSearch,C1,H1,False,12_345678,19,38.0,8460,3108,0.1522
39,5462187_3,AStarSearch,C1,H2,False,12_345678,19,38.0,1099,416,0.02
40,5462187_3,UniformCostSearch,C2,N/A,False,12_345678,19,49.0,153312,58034,1.1675
41,5462187_3,AStarSearch,C2,H1,False,12_345678,19,49.0,17816,6689,0.3301
42,5462187_3,AStarSearch,C2,H2,False,12_345678,19,49.0,3111,1176,0.0608
43,5462187_3,UniformCostSearch,C3,N/A,False,12_345678,19,46.0,95704,35642,0.6473
44,5462187_3,AStarSearch,C3,H1,False,12_345678,19,46.0,9822,3680,0.1952
45,5462187_3,AStarSearch,C3,H2,False,12_345678,19,46.0,1702,641,0.0364
46,5462187_3,UniformCostSearch,C4,N/A,False,12_345678,19,55.0,82384,32790,0.6285
47,5462187_3,AStarSearch,C4,H1,False,12_345678,19,55.0,14502,5444,0.3064
48,5462187_3,AStarSearch,C4,H2,False,12_345678,19,55.0,3187,1207,0.0662
49,254_87631,UniformCostSearch,C1,N/A,False,12_345678,19,38.0,162551,61015,1.2662
50,254_87631,AStarSearch,C1,H1,False,12_345678,19,38.0,7672,2825,0.1388
51,254_87631,AStarSearch,C1,H2,False,12_345678,19,38.0,605,226,0.0111
52,254_87631,UniformCostSearch,C2,N/A,False,12_345678,19,48.0,139226,52591,1.0137
